id,annual_risk,hourly_wage,age,sex,race,work_experience,union,blue_collar
7636,0.0010000000474974513,9.734513282775879,38,1,1,1,0,1
7671,0.0017500000540167093,9.734513282775879,29,1,1,1,1,0
7706,0.0017500000540167093,9.734513282775879,34,1,0,1,1,1
7717,0.0020000000949949026,6.81818151473999,30,1,1,1,0,1
7735,0.0020000000949949026,7.7272725105285645,27,1,1,1,0,1
7737,0.001500000013038516,4.999999523162842,28,1,0,1,0,1
7757,7.50000006519258e-4,9.734513282775879,24,1,1,1,1,0
7771,7.50000006519258e-4,8.849557876586914,28,1,1,1,0,1
7773,0.0010000000474974513,10.227272033691406,56,1,1,1,1,1
7806,0.0020000000949949026,14.451327323913574,26,1,1,1,1,1
7824,0.001500000013038516,11.504425048828125,38,1,1,1,1,1
7845,2.500000118743628e-4,4.92424201965332,29,0,1,1,0,1
7915,0.0020000000949949026,15.345132827758789,42,1,1,1,1,1
7932,0.001500000013038516,10.548672676086426,49,1,1,0,1,1
7967,0.0022499999031424522,9.920353889465332,45,1,1,1,0,1
7975,7.50000006519258e-4,12.38938045501709,54,1,1,1,1,1
7981,2.500000118743628e-4,8.333333015441895,38,1,1,1,0,0
8006,2.500000118743628e-4,8.378787994384766,22,1,1,1,1,1
8025,0.0012499999720603228,7.537878513336182,33,1,1,0,1,1
8034,2.500000118743628e-4,10.83185863494873,34,0,1,1,1,0
8056,0.001500000013038516,9.345132827758789,27,1,1,1,0,1
8057,0.0017500000540167093,14.017699241638184,37,1,1,1,0,1
8116,2.500000118743628e-4,10.097345352172852,53,1,1,0,1,1
8128,0.0012499999720603228,10.619468688964844,24,1,1,1,0,1
8151,2.500000118743628e-4,9.84848403930664,53,1,1,1,1,1
8154,0.0024999999441206455,10.39823055267334,26,1,1,1,1,1
8174,0.001105999923311174,7.5757575035095215,32,1,1,1,1,1
8181,0.0020000000949949026,10.454545021057129,26,1,1,1,1,1
8190,7.50000006519258e-4,9.719696998596191,45,1,1,1,1,1
8191,5.000000237487257e-4,7.689393520355225,54,1,1,0,1,1
